TOEIC1,TOEIC頻出単語
contacting,接触している、繋がっている
contain,を含む、収容する
cordless,コードなしの
counti(es),国、国土、国家
Dallas,ダラス
danger,危険、危機、脅威
degree,度、程度、度合い、学位
delicious,おいしい、美味な
department(s),局、部、課、部門、学部
depend(s),当てにする、頼みにする
dialog,会話、対話、対談、問答
diamond(s),ダイヤモンド、ひし形
disagree(s),反対する、一致しない
disaster(s),災害、天災、災難、惨事
discounted,値下げした、割り引いた
Duncan,ダンカン
educational,教育の、教育上の
effect(s),効果、効き目、効力、影響
efficiently,効率的に、有効に、事実上
encourage,奨励する、勇気づける
exclusively,排他的に、独占的に
expecting,期待している、お産が近い
extension,拡張、伸長、延長、内線
extensive,広大な、広域の、大規模な
facing,直面している
fat,太った、脂肪、脂、脂質
fee,手数料、料金、授業料
fell,倒れた、切り倒した
figure(s),形状、形、図、図表
film,映画、フィルム、撮影する
finishing,仕上げている、終えている
fit,適合する、合う、似合う
flavor,風味、味わい、香味料
fly,飛ぶ、逃げる、飛行する
football,アメフト、サッカー、ラグビー
foreign,外国の、対外関係の
forget,忘れる、見落とす
forgotten,忘れた
France,フランス
frank,率直な、公然の
Franklin,フランクリン
fully,完全に、十分に、全く
generation,世代、発生、生成、創出
goal,目標、目的地、目的
gym,体育館、体育、体操
Hanson,ハンソン
haven,避難所、安息の地、港
heat,熱、熱さ、加熱、火力
herself,彼女自身
hired,採用した、雇った
host,主人、司会者、宿主
indicate,示す、支持する、表す
issued,公布した、公表した
Italian,イタリア語、イタリア人
joined,加わった、交わった
lawyer,弁護士、法律家
level(s),水準、段、水面、ﾚﾍﾞﾙ
lived,住んでいた、暮した
luggage,手荷物、旅行かばん
manage,管理する、経営する
manager(s),支配人、経営者、部長
marketing,ﾏｰｹﾃｨﾝｸﾞ、市場取引
Mary,メアリー
matter(s),事柄、件、状況、重要になる
membership,会員、会員数、構成員
minor,より小さい、軽微な、年少の
missed,失敗した、見逃した
mobile,携帯の、移動性の
name(s),名前、名前を付ける
newspaper(s),新聞、新聞紙、新聞の
nice,良い、素敵な、快い
noon,正午、真昼、最高点
noted,著名な、顕著な、有名な
November,11月
object,物、目的、目標物、物体
occurred,発生した、起こった
operate,操作する、動作する
operation,操作、動作、作業、事業
ours,私たちの
paper(s),論文、資料、新聞、紙
paragraph,段落、項、ﾊﾟﾗｸﾞﾗﾌ
planned,計画した、計画された
powerful,強力な、心強い、強い
pretty,かわいい、可憐な、かなり
pricing,価格設定、値付け
private,私立の、個人用の、私的な
profitable,収益のある、もうかる
quarterly,四半期の、4分の1の
reasonable,理にかなった、妥当な
receipt(s),領収書、受領書、受理
reduction,削減、短縮、縮小、減退
reliable,信頼できる、頼りになる
repair(s),修理する、治す、修繕
require(s),要求する、必要とする
respect,尊敬する、敬う、尊敬
risk,危険、恐れ、危険を冒す
roast,焼く、炙る、煎る
secretari(es),秘書、書記、事務員
send(s),送信する、送る、届ける
sentence,文、判決、判決を下す
